[INFO] Initializing ... this may take a while ...
[INFO] Loading model ...
[INFO] Model Loaded
[INFO] Use auto-prompting prompt ... 
[INFO] Done
[VERBOSE] outputs/js-hermes-demo/0.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/1.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/3.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/6.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/7.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/9.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/11.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/16.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/17.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/19.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/20.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/21.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/22.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/23.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/24.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/26.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/27.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/28.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/29.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/31.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/32.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/33.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/34.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/35.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/36.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/38.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/39.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/40.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/41.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/42.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/43.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/45.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/47.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/48.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/49.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/50.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/51.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/52.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/55.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/57.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/58.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/60.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/62.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/63.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/64.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/65.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/66.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/67.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/69.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/72.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/73.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/74.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/76.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/77.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/78.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/79.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/82.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/84.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/85.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/87.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/88.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/92.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/94.fuzz has potential error!
[VERBOSE] outputs/js-hermes-demo/95.fuzz has potential error!
